,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2205,John Bohannon,2011,2014,Texas-El Paso,CUSA,125,3063,455,800,451,775,4,25,290,444,206,619,825,194,67,165,252,331,1204
2206,Jabarie Hinds,2012,2016,Total,Total,129,3318,461,1111,334,727,127,384,155,225,47,204,251,326,150,15,232,222,1204
2207,Demetrius Jackson,2014,2016,Notre Dame,ACC,103,3243,415,888,282,539,133,349,241,308,90,232,322,335,114,23,170,197,1204
2208,Jeff Xavier,2006,2009,Total,Total,95,2869,414,1028,204,403,210,625,166,210,117,277,394,198,186,19,198,221,1204
2209,Kevin Coble,2007,2009,Northwestern,Big Ten,81,2695,465,965,338,640,127,325,146,186,67,347,414,159,114,49,116,143,1203
2210,Whitney Coleman,2006,2010,Monmouth,NEC,127,3894,436,1070,275,611,161,459,170,214,80,332,412,293,167,33,294,298,1203
2211,Greg Pryor,2014,2017,Chattanooga,Southern,126,3366,356,879,211,444,145,435,346,446,60,224,284,343,170,10,246,313,1203
2212,Andrey Semenov,2009,2014,James Madison,CAA,132,3321,393,945,225,504,168,441,249,319,125,393,518,170,90,101,182,327,1203
2213,Jerry Smith,2007,2010,Louisville,Big East,138,3266,398,876,188,336,210,540,197,270,128,299,427,233,177,23,188,287,1203
2214,Quinton Upshur,2012,2015,Total,Total,101,2635,383,940,209,445,174,495,263,359,56,261,317,97,129,69,137,251,1203
2215,Gavin Grant,2006,2008,North Carolina State,ACC,99,2998,391,842,321,623,70,219,350,467,118,361,479,301,60,53,295,196,1202
2216,Jeremy Hollowell,2013,2017,Total,Total,125,2825,411,988,301,639,110,349,270,353,128,383,511,145,82,66,213,277,1202
2217,Wayne Selden,2014,2016,Kansas,Big 12,109,3217,422,969,260,526,162,443,196,310,96,228,324,282,75,41,211,223,1202
2218,Chris Wroblewski,2009,2012,Cornell,Ivy,119,3594,367,912,178,456,189,456,279,339,47,337,384,481,139,6,259,225,1202
2219,Daniel Emerson,2006,2010,Total,Total,125,3088,403,796,361,686,42,110,353,496,342,589,931,144,55,16,261,271,1201
2220,Eric Hayes,2007,2010,Maryland,ACC,133,3868,409,914,213,430,196,484,187,215,59,287,346,513,130,25,258,181,1201
2221,Brandon Bos,2012,2015,South Dakota,Summit,113,2895,376,959,231,577,145,382,303,355,76,273,349,223,48,6,184,152,1200
2222,Daniel Dion,2014,2017,New Hampshire,AEC,118,3310,383,997,139,348,244,649,190,240,35,232,267,235,78,8,186,202,1200
2223,Kory Holden,2015,2019,Total,Total,98,2811,402,1008,242,614,160,394,236,312,46,193,239,350,39,9,252,189,1200
2226,Dorenzo Hudson,2008,2012,Virginia Tech,ACC,135,3437,419,1032,312,672,107,360,255,332,103,233,336,177,83,17,201,196,1200
2227,Moses Kingsley,2014,2017,Arkansas,SEC,136,2701,424,835,416,817,8,18,344,508,266,502,768,106,88,256,172,290,1200
2228,Deon Mitchell,2012,2015,Northern Iowa,MVC,135,3207,406,964,301,679,105,285,283,414,41,252,293,373,129,7,283,181,1200
2229,J.C. Show,2015,2019,Total,Total,110,3068,405,1039,171,396,234,643,156,190,51,280,331,145,87,4,151,175,1200
2230,Jordan Strawberry,2015,2018,Mercer,Southern,133,3320,399,1003,250,596,149,407,253,293,70,275,345,494,92,4,219,194,1200
2231,Lorrenzo Wade,2007,2009,San Diego State,MWC,92,2908,448,977,384,765,64,212,240,341,92,351,443,275,125,72,241,202,1200
2232,Armon Bassett,2007,2010,Total,Total,94,2943,366,910,180,440,186,470,281,342,34,226,260,310,90,3,183,142,1199
2233,Jamar Butler,2006,2008,Ohio State,Big Ten,107,3603,384,910,156,321,228,589,203,234,55,235,290,505,116,11,215,158,1199
2234,C.J. Carter,2013,2015,Omaha,Summit,90,2817,422,957,308,591,114,366,241,322,51,188,239,267,115,30,227,162,1199
2235,Clayton Custer,2015,2019,Total,Total,111,3299,425,902,243,458,182,444,167,218,35,187,222,332,125,6,193,201,1199
2236,Kierre Greenwood,2010,2013,Coastal Carolina,Big South,118,3448,424,933,363,754,61,179,290,386,69,300,369,481,178,32,282,252,1199
2237,Paris Horne,2008,2011,St. John's (NY),Big East,129,3452,444,1023,296,607,148,416,163,259,155,222,377,189,126,42,196,262,1199
2238,Lawrence Westbrook,2007,2010,Minnesota,Big Ten,121,2692,408,933,268,564,140,369,243,301,77,215,292,216,86,11,234,241,1199
2239,Cullen Neal,2014,2018,Total,Total,139,3032,359,958,167,437,192,521,288,366,37,234,271,302,67,1,256,297,1198
2240,Pat Calathes,2006,2008,Saint Joseph's,A-10,99,2726,388,882,253,544,135,338,286,340,158,440,598,268,73,79,223,214,1197
2241,Jhivvan Jackson,2018,2019,Texas-San Antonio,CUSA,58,1639,396,979,215,474,181,505,224,278,22,190,212,123,65,4,138,150,1197
2242,Trevor Lacey,2012,2015,Total,Total,104,3199,404,971,233,503,171,468,218,293,48,349,397,295,110,24,202,168,1197
2243,Kevin Tiggs,2008,2009,East Tennessee State,A-Sun,66,2099,418,779,371,643,47,136,314,406,155,184,339,118,120,14,206,152,1197
2244,Isaac Fleming,2015,2019,Total,Total,115,3065,455,985,373,662,82,323,204,314,120,264,384,389,146,10,293,291,1196
2245,Tyler Harris,2012,2016,Total,Total,118,3021,408,942,346,734,62,208,318,437,210,359,569,131,87,44,200,304,1196
2248,Damian Hollis,2007,2010,George Washington,A-10,116,2614,417,920,303,615,114,305,248,303,156,422,578,141,76,85,230,322,1196
2249,B.J. Jenkins,2007,2011,Total,Total,131,3310,388,912,206,410,182,502,238,287,68,324,392,362,183,11,248,265,1196
2250,Junior Salters,2007,2010,Wofford,Southern,122,3271,402,1055,138,352,264,703,128,176,67,284,351,198,112,13,191,223,1196
2251,Ryan Andino,2015,2019,Maryland-Eastern Shore,MEAC,130,3342,384,1079,55,164,329,915,98,120,29,165,194,105,74,1,104,138,1195
2252,Martin Breunig,2012,2016,Total,Total,95,2143,457,759,451,730,6,29,275,383,191,371,562,112,42,68,164,247,1195
2253,Ryan Funk,2016,2019,Marist,MAAC,113,3098,379,916,115,232,264,684,173,209,48,253,301,57,50,12,88,224,1195
2254,Artsiom Parakhouski,2009,2010,Radford,Big South,64,2109,451,804,448,787,3,17,290,483,292,491,783,70,45,115,147,147,1195
2255,James Powell,2007,2010,UC-Santa Barbara,Big West,120,2897,390,989,169,412,221,577,194,234,32,253,285,222,111,4,217,228,1195
2256,"David Jenkins, Jr.",2018,2019,South Dakota State,Summit,67,2091,388,872,192,405,196,467,222,279,24,197,221,106,28,0,143,156,1194
2257,Evan Kelley,2011,2015,Sacred Heart,NEC,117,3327,435,1015,379,786,56,229,268,414,77,312,389,243,130,17,259,240,1194
2258,Sam Rowley,2012,2015,Albany (NY),AEC,127,3202,453,888,453,882,0,6,288,379,241,515,756,166,129,64,268,348,1194
2259,Tate Unruh,2011,2014,Northern Colorado,Big Sky,112,2963,406,890,165,331,241,559,141,150,55,303,358,139,86,8,142,220,1194
2260,Shivaughn Wiggins,2013,2017,Total,Total,113,3344,357,818,268,571,89,247,391,545,72,227,299,335,134,8,160,195,1194
2261,Eric Cooper,2015,2019,Total,Total,122,3151,386,1051,168,411,218,640,203,249,55,214,269,128,76,6,127,214,1193
2262,Shavar Newkirk,2015,2018,Saint Joseph's,A-10,111,2966,372,964,272,649,100,315,349,466,68,267,335,333,116,19,180,148,1193
2263,Greg Paulus,2006,2009,Duke,ACC,139,3752,376,907,166,380,210,527,231,298,55,238,293,468,172,5,303,310,1193
2264,Mike Phillips,2010,2013,Howard,MEAC,121,3527,427,1040,423,1017,4,23,335,502,317,424,741,95,85,62,268,326,1193
2265,Malcolm Thomas,2008,2011,Total,Total,103,3156,446,841,442,824,4,17,297,512,297,545,842,211,67,191,233,236,1193
2266,Dmitri Thompson,2015,2018,Elon,CAA,129,3272,448,944,362,675,86,269,211,321,145,461,606,163,91,21,191,235,1193
2267,Marcus Walker,2006,2009,Total,Total,92,2521,432,1030,296,596,136,434,193,256,33,129,197,216,77,4,133,139,1193
2268,Bobby Word,2014,2018,Total,Total,131,3412,382,1012,134,326,248,686,181,248,70,290,360,113,75,31,124,266,1193
2269,Cameron Johnson,2008,2011,Texas State,Southland,118,2348,440,948,439,945,1,3,311,509,245,393,638,82,106,55,238,375,1192
2270,Joshua Jones,2009,2012,Eastern Kentucky,OVC,125,3615,405,943,205,433,200,510,182,255,55,280,335,236,123,29,170,275,1192
2271,Keith McDougald,2011,2014,Jacksonville,A-Sun,104,2548,405,1022,253,561,152,461,230,302,89,237,326,158,116,4,217,268,1192
2272,Demetrius Nelson,2006,2009,Citadel,Southern,101,2430,428,795,428,792,0,3,336,479,225,342,567,52,51,48,190,257,1192
2273,Tracy Abrams,2012,2017,Illinois,Big Ten,138,3605,399,1041,278,654,121,387,272,369,75,347,422,374,142,18,255,302,1191
2274,Aaric Armstead,2014,2017,Northern Illinois,MAC,124,3530,395,1055,289,707,106,348,295,435,202,432,634,121,152,59,213,248,1191
2275,Rashid Gaston,2013,2017,Total,Total,120,2798,485,835,485,835,0,0,221,414,339,510,849,86,28,86,189,290,1191
2276,Noah Hartsock,2009,2012,Brigham Young,Total,134,3331,461,847,422,748,39,99,230,282,194,444,638,158,74,177,123,274,1191
2277,Mick Hedgepeth,2009,2012,Belmont,A-Sun,134,2673,413,765,404,736,9,29,356,522,259,432,691,62,57,78,180,335,1191
2278,Doneal Mack,2007,2010,Memphis,CUSA,145,2876,411,995,172,340,239,655,130,197,77,196,273,148,83,52,100,241,1191
2279,Jarvis Threatt,2012,2014,Delaware,CAA,87,2714,338,868,285,679,53,189,462,613,94,349,443,308,159,18,190,148,1191
2280,Maalik Wayns,2010,2012,Villanova,Big East,95,2464,379,919,285,596,94,323,339,400,46,206,252,323,87,3,223,217,1191
2281,Quadir Welton,2014,2017,Saint Peter's,MAAC,131,3482,435,924,435,924,0,0,321,575,329,555,884,165,84,136,246,370,1191
2282,Kaelon Wilson,2015,2018,Texas-Arlington,Sun Belt,132,3021,412,913,319,623,93,290,274,418,168,341,509,156,93,30,174,262,1191
2283,Chris Denson,2011,2014,Auburn,SEC,100,2496,401,873,354,702,47,171,341,527,88,187,275,156,82,10,129,171,1190
2284,Herb Courtney,2006,2008,Delaware,CAA,92,2854,413,977,332,708,81,269,282,430,173,411,584,94,105,112,216,260,1189
2285,Gee McGhee,2013,2017,Total,Total,124,3527,354,879,251,542,103,337,378,575,164,400,564,277,133,25,187,280,1189
2286,Shawn Roundtree,2015,2019,Total,Total,104,2931,368,898,228,507,140,391,313,397,36,207,243,301,64,3,233,171,1189
2287,B.J. Johnson,2014,2018,Total,Total,91,2317,403,947,274,562,129,385,253,300,125,371,496,62,83,41,157,160,1188
2290,Jarred Jones,2013,2017,Loyola (MD),Total,124,2853,433,909,422,863,11,46,311,424,177,445,622,140,135,126,234,317,1188
2291,Bobby Hain,2013,2016,Youngstown State,Horizon,110,2786,469,925,445,821,24,104,225,324,225,454,679,151,45,54,144,267,1187
2292,Breein Tyree,2017,2019,Mississippi,SEC,99,2575,404,967,261,564,143,403,236,308,31,200,231,247,76,23,209,182,1187
2293,Rich Williams,2014,2018,Manhattan,MAAC,123,2693,434,989,295,617,139,372,180,238,111,325,436,160,92,26,228,269,1187
2294,Jamar Wilson,2006,2007,Albany (NY),AEC,65,2315,380,837,285,585,95,252,332,416,83,280,363,284,83,19,236,158,1187
2295,Jordan Ford,2017,2019,Saint Mary's (CA),WCC,99,2410,426,870,295,557,131,313,203,257,38,170,208,162,78,3,104,117,1186
2296,Jordan Fox,2016,2019,Army,Patriot,127,3188,409,1019,197,435,212,584,156,200,42,300,342,436,89,6,225,255,1186
2297,Madarious Gibbs,2012,2015,Texas Southern,SWAC,130,3932,404,904,337,691,67,213,311,474,76,335,411,469,130,9,313,287,1186
2298,Jay Greene,2006,2009,Maryland-Baltimore County,AEC,122,4213,375,949,135,284,240,665,196,250,54,276,330,683,157,8,270,251,1186
2299,Adam Koch,2007,2010,Northern Iowa,MVC,132,3105,347,744,301,580,46,164,446,569,167,429,596,180,64,37,226,278,1186
2300,L.J. Peak,2015,2017,Georgetown,Big East,98,2709,395,857,307,594,88,263,308,405,80,225,305,199,87,45,187,271,1186
2301,Dorian Pickens,2015,2018,Stanford,Pac-12,116,2916,371,887,175,380,196,507,248,335,94,246,340,162,88,11,135,175,1186
2302,Reggie Middleton,2009,2012,Winthrop,Big South,116,3174,415,1076,302,712,113,364,242,361,82,307,389,410,173,33,246,283,1185
2303,Kaleb Tarczewski,2013,2016,Arizona,Pac-12,135,3489,415,740,415,740,0,0,355,504,277,602,879,63,39,117,204,372,1185
2304,Rokas Gustys,2015,2018,Hofstra,CAA,120,3179,507,824,507,824,0,0,170,445,449,856,1305,113,104,83,191,394,1184
2305,Jamelle Hagins,2010,2013,Delaware,CAA,124,3602,466,919,466,917,0,2,252,377,291,786,1077,86,86,291,226,396,1184
2306,Cleon Roberts,2013,2017,Total,Total,127,3666,368,945,173,421,195,524,253,334,113,242,355,140,171,38,175,320,1184
2307,Isiah Brown,2009,2012,East Tennessee State,A-Sun,135,3511,473,857,473,855,0,2,237,445,315,475,790,119,126,183,259,390,1183
2308,Demetrius Dyson,2014,2018,Total,Total,118,2487,393,870,208,420,185,450,212,294,97,301,398,91,66,18,161,196,1183
2309,Rodriguez Sherman,2007,2011,Kent State,MAC,137,3444,424,1009,324,695,100,314,235,347,138,308,446,276,165,17,246,289,1183
2312,James Washington,2007,2011,Total,Total,101,3217,331,819,150,360,181,459,340,426,50,199,249,311,126,4,228,251,1183
2313,Matthew Bryan-Amaning,2008,2011,Washington,Pac-10,136,2822,483,954,483,953,0,1,216,381,279,449,728,73,115,158,182,334,1182
2314,Jarell Eddie,2011,2014,Virginia Tech,ACC,123,3176,383,995,191,469,192,526,224,276,101,462,563,139,43,58,183,247,1182
2315,KJ Feagin,2016,2019,Santa Clara,WCC,83,2757,431,973,279,591,152,382,168,200,26,195,221,328,66,9,191,179,1182
2316,Tarkus Ferguson,2017,2019,Illinois-Chicago,Horizon,95,3118,388,972,199,436,189,536,217,279,52,503,555,479,126,71,291,201,1182
2317,Urule Igbavboa,2006,2009,Valparaiso,Total,119,2982,421,786,407,733,14,53,326,522,156,550,706,178,75,73,253,293,1182
2318,Ryan Litke,2007,2010,Sacred Heart,NEC,121,2647,412,1001,142,313,270,688,88,126,58,283,341,164,115,32,220,270,1182
2319,Geno Luzcando,2015,2018,Idaho State,Big Sky,121,3283,410,848,325,585,85,263,277,410,107,358,465,201,217,19,287,360,1182
2320,Dererk Pardon,2016,2019,Northwestern,Big Ten,112,3234,471,783,465,754,6,29,234,380,328,456,784,134,72,148,134,301,1182
2321,Jason Wills,2006,2008,North Carolina A&T,MEAC,90,2661,405,822,400,804,5,18,367,596,200,423,623,212,85,29,293,240,1182
2322,Christopher Anderson,2012,2015,San Diego,WCC,129,4108,390,935,289,664,101,271,300,462,92,341,433,757,254,18,365,279,1181
2323,Glen Davis,2006,2007,Louisiana State,SEC,65,2160,428,873,405,801,23,72,302,436,258,395,653,116,79,69,178,156,1181
2324,Jace Hogan,2015,2019,Total,Total,98,2451,473,984,468,965,5,19,230,328,185,330,515,84,55,44,148,185,1181
2325,Cedric Kuakumensah,2013,2016,Brown,Ivy,115,3135,439,1007,381,857,58,150,245,368,246,661,907,119,44,311,229,349,1181
2326,Trent Lockett,2010,2013,Total,Total,122,3341,408,844,360,704,48,140,317,451,172,418,590,219,109,45,263,295,1181
2327,Trent Mackey,2012,2016,Total,Total,125,3589,381,879,78,198,303,681,116,140,41,216,257,175,64,6,144,255,1181
2328,Sviatoslav Mykhailiuk,2015,2018,Kansas,Big 12,136,3070,422,986,185,407,237,579,100,134,93,247,340,202,97,27,146,227,1181
2329,Dusan Ristic,2015,2018,Arizona,Pac-12,141,2640,484,857,470,827,14,30,199,285,204,439,643,77,31,66,137,271,1181
2330,Kendall Stephens,2014,2018,Total,Total,127,2777,376,980,75,205,301,775,128,158,40,200,240,123,55,51,104,232,1181
2331,Jordan Barnes,2017,2019,Indiana State,MVC,92,2685,365,939,150,370,215,569,235,271,36,289,325,275,90,6,197,195,1180
2334,Jason Brickman,2011,2014,Long Island University,NEC,130,4241,348,792,145,301,203,491,281,337,55,286,341,1007,122,1,432,90,1180
2335,Ryan Bright,2006,2008,Sam Houston State,Southland,93,2759,442,948,347,661,95,287,201,401,251,581,832,290,159,86,285,258,1180
2336,Eric Coleman,2006,2008,Northern Iowa,MVC,96,2563,441,795,441,793,0,2,298,483,209,583,792,171,60,91,205,256,1180
2337,Brandon McPherson,2006,2010,Valparaiso,Total,129,3129,404,860,246,472,158,388,214,273,51,214,265,316,68,13,203,297,1180
2338,Andrew Nicholas,2012,2015,Monmouth,Total,107,2919,431,1129,262,617,169,512,149,218,91,249,340,164,117,39,183,285,1180
2339,Jacques Streeter,2009,2013,Total,Total,127,4283,368,923,204,482,164,441,280,381,64,314,378,600,112,6,251,220,1180
2340,Micah Williams,2008,2011,East Tennessee State,A-Sun,130,2845,399,922,270,548,129,374,253,347,117,257,374,99,85,32,163,187,1180
2341,Pancake Thomas,2013,2017,Total,Total,130,2883,378,911,200,468,178,443,245,301,89,319,408,208,76,8,124,173,1179
2342,Julian Eleby,2014,2017,Virginia Military Institute,Total,113,2865,364,931,188,414,176,517,274,348,77,391,468,234,103,23,223,160,1178
2343,D.J. Gay,2008,2011,San Diego State,MWC,140,4223,379,1046,160,439,219,607,201,288,51,210,261,344,126,10,191,156,1178
2344,Mikko Koivisto,2007,2010,North Carolina-Greensboro,Southern,118,3088,365,936,102,231,263,705,185,216,51,193,244,190,63,7,147,239,1178
2345,Cody Martin,2015,2019,Total,Total,122,3526,450,899,398,739,52,160,226,328,171,388,559,434,155,96,201,278,1178
2346,Sean Ogirri,2006,2009,Total,Total,98,2940,366,865,102,234,264,631,182,210,56,201,257,212,72,16,167,186,1178
2347,Demarquelle Tabb,2011,2014,Alabama A&M,SWAC,112,3004,443,915,443,908,0,7,292,501,279,540,819,120,113,184,194,332,1178
2348,Keith Wright,2009,2012,Harvard,Ivy,109,2926,487,870,487,868,0,2,204,290,250,493,743,89,62,146,221,250,1178
2349,Devon Austin,2006,2009,Manhattan,MAAC,111,3075,404,979,239,487,165,492,204,253,206,262,468,96,87,94,151,287,1177
2350,Michael Gbinije,2012,2016,Total,ACC,120,3061,409,900,250,489,159,411,200,313,101,276,377,310,154,31,194,257,1177
2351,Z Mason,2012,2014,Chattanooga,Southern,88,2206,420,883,355,684,65,199,272,385,214,469,683,55,64,129,146,164,1177
2352,Edward Townsel,2011,2014,Arkansas State,Sun Belt,129,3366,392,1027,216,531,176,496,217,299,97,305,402,240,173,6,247,273,1177
2353,Reggie Lewis,2011,2014,Florida A&M,MEAC,120,3169,432,1139,244,622,188,517,124,172,63,142,205,167,88,13,143,163,1176
2356,Shane Nichols,2006,2008,Wofford,Southern,82,2612,365,876,121,280,244,596,202,255,25,124,149,107,63,7,118,161,1176
2357,Retin Obasohan,2013,2016,Alabama,SEC,125,2937,380,877,291,611,89,266,327,479,61,286,347,182,154,63,206,278,1176
2358,Jahaad Proctor,2016,2019,Total,Total,88,2357,414,917,287,547,127,370,221,288,50,224,274,209,78,20,150,116,1176
2359,Gary Johnson,2008,2011,Texas,Big 12,124,3005,427,898,425,890,2,8,319,485,200,486,686,99,51,48,168,277,1175
2360,Andrew Kostecka,2017,2019,Loyola (MD),Patriot,87,2440,410,829,309,555,101,274,254,322,77,249,326,157,166,70,159,229,1175
2361,Rihards Kuksiks,2008,2011,Arizona State,Pac-10,121,3310,395,933,115,237,280,696,105,132,81,285,366,192,93,25,134,246,1175
2362,Jordan Reed,2013,2017,Total,Total,93,2743,387,958,357,835,30,123,371,533,239,498,737,105,93,56,227,233,1175
2363,Abdul-Malik Abu,2015,2018,North Carolina State,ACC,128,2934,462,934,460,915,2,19,248,395,291,485,776,110,41,82,184,340,1174
2364,Al Thornton,2006,2007,Florida State,ACC,65,1963,415,790,359,667,56,123,288,374,193,266,459,61,82,49,160,170,1174
2365,Nick Emery,2016,2019,Brigham Young,WCC,93,2641,401,962,202,431,199,531,172,211,26,242,268,214,132,14,145,264,1173
2366,Randal Falker,2006,2008,Southern Illinois,MVC,102,2956,424,767,424,767,0,0,325,542,302,467,769,134,73,165,240,335,1173
2367,Ako Kaluna,2014,2017,Northern Arizona,Big Sky,130,2814,437,977,343,701,94,276,205,300,203,382,585,113,65,50,167,315,1173
2368,Austin Morgan,2010,2013,Yale,Ivy,118,3117,332,840,133,332,199,508,310,361,34,164,198,245,95,6,201,198,1173
2369,Rhamel Brown,2011,2014,Manhattan,MAAC,130,3155,478,867,478,863,0,4,216,463,371,439,810,79,113,367,202,382,1172
2370,Nolan Cressler,2013,2017,Total,Total,124,2827,432,976,258,512,174,464,134,184,87,358,445,153,55,7,156,234,1172
2371,Ashley Hamilton,2009,2013,Loyola Marymount,WCC,113,3020,400,911,362,792,38,119,334,459,198,457,655,108,76,57,292,321,1172
2372,Josh Heytvelt,2006,2009,Gonzaga,WCC,96,2236,429,814,374,668,55,146,259,371,159,394,553,48,52,95,129,234,1172
2373,David Jackson,2006,2008,Western Illinois,Total,86,2758,388,986,303,730,85,256,311,404,79,296,375,196,92,30,207,242,1172
2374,Denzel Livingston,2014,2015,Incarnate Word,Southland,56,1959,364,767,264,496,100,271,344,435,83,262,345,187,142,76,153,143,1172
2375,Shaquille Morris,2015,2018,Wichita State,Total,134,2337,456,835,434,774,22,61,238,332,164,400,564,104,50,147,143,346,1172
2376,Khristian Smith,2013,2016,Indiana State,MVC,130,3402,415,1014,339,738,76,276,266,376,124,425,549,172,99,39,174,287,1172
2377,Worth Smith,2012,2015,Navy,Patriot,111,3205,477,1058,405,827,72,231,146,218,216,387,603,89,107,107,180,236,1172
2378,Ramel Bradley,2006,2008,Kentucky,SEC,94,2691,361,867,206,433,155,434,294,360,72,233,305,268,105,24,231,184,1171
2379,Jared Dudley,2006,2007,Boston College,ACC,66,2492,393,748,321,566,72,182,313,432,187,300,487,205,83,22,148,123,1171
2380,Alex Oriakhi,2010,2013,Total,Total,143,3640,447,843,447,842,0,1,277,432,395,636,1031,49,53,220,168,335,1171
2381,Kendall Pollard,2014,2017,Dayton,A-10,125,2714,421,797,409,749,12,48,317,555,114,381,495,122,97,72,206,313,1171
2382,Terence Smith,2011,2015,Total,Total,118,3096,370,877,245,557,125,320,306,380,95,249,344,293,81,13,202,271,1171
2383,John Williams,2008,2011,North Carolina-Asheville,Big South,119,3217,457,828,450,806,7,22,250,441,225,459,684,121,86,256,171,212,1171
2384,JT Yoho,2013,2016,Wright State,Horizon,119,2848,426,972,269,560,157,412,162,222,81,377,458,182,49,11,190,242,1171
2385,Michael Alvarado,2011,2014,Manhattan,MAAC,117,3175,346,884,288,691,58,193,420,565,65,230,295,364,159,8,299,260,1170
2386,Jason Bohannon,2007,2010,Wisconsin,Big Ten,135,3749,365,858,153,299,212,559,228,269,64,289,353,211,70,24,130,175,1170
2387,Devonte Brown,2013,2016,Indiana State,MVC,130,3309,339,824,278,610,61,214,431,623,67,371,438,281,113,22,312,288,1170
2388,Antwan Burrus,2010,2014,Liberty,Big South,125,2980,475,936,472,928,3,8,217,299,276,340,616,60,49,124,176,278,1170
2389,Nick Calathes,2008,2009,Florida,SEC,72,2374,380,836,249,491,131,345,279,390,72,307,379,452,126,9,223,145,1170
2390,Cory Johnson,2007,2011,Total,Total,121,2399,432,820,386,678,46,142,260,379,166,262,428,123,64,40,187,262,1170
2391,Brynton Lemar,2014,2017,UC-Davis,Big West,123,3147,380,957,232,563,148,394,262,356,51,262,313,214,72,9,190,253,1170
2392,Aurimas Majauskas,2014,2017,Sam Houston State,Southland,126,2122,398,705,358,595,40,110,334,437,204,311,515,118,39,29,150,362,1170
2393,Tahjere McCall,2013,2017,Total,Total,117,3047,388,908,357,773,31,135,363,536,175,305,480,363,220,32,322,339,1170
2394,Matt Thomas,2014,2017,Iowa State,Big 12,138,3510,394,923,140,289,254,634,128,157,51,380,431,181,92,21,114,211,1170
2395,Deron Washington,2006,2008,Virginia Tech,ACC,98,3023,414,889,369,731,45,158,297,480,182,370,552,162,122,85,175,313,1170
2398,Kevin Hardy,2012,2015,McNeese State,Southland,125,3750,465,998,428,889,37,109,202,366,230,435,665,430,241,102,220,290,1169
2399,Javontae Hawkins,2013,2017,Total,Total,116,2559,406,893,323,639,83,254,274,351,111,264,375,107,72,34,188,257,1169
2400,Amadi McKenzie,2006,2008,Tennessee Tech,OVC,93,2483,443,749,433,703,10,46,273,451,264,408,672,118,91,41,194,279,1169
2401,Isaiah Philmore,2010,2014,Total,Total,121,3212,412,819,388,737,24,82,321,441,255,377,632,69,56,36,165,291,1169
2402,Cameron Rundles,2007,2011,Total,Total,131,3276,373,911,194,468,179,443,244,368,59,283,342,288,93,5,210,242,1169
2403,Chad White,2010,2014,South Dakota State,Summit,132,3445,389,852,174,326,215,526,176,242,126,313,439,203,72,59,169,265,1169
2404,Ruben Guillandeaux,2007,2011,La Salle,A-10,120,3144,404,998,238,565,166,433,194,255,35,231,266,317,71,9,205,205,1168
2405,Brandon Reed,2010,2014,Total,Total,124,3121,400,1062,236,569,164,493,204,287,64,295,359,216,80,9,191,159,1168
2406,Jay Tunnell,2006,2009,Indiana State,MVC,122,3146,410,865,312,602,98,263,250,343,202,408,610,113,48,44,160,368,1168
2407,Lorenzo Brown,2011,2013,North Carolina State,ACC,101,3289,410,955,346,745,64,210,283,382,74,351,425,589,172,50,304,190,1167
2408,Joevan Catron,2007,2011,Oregon,Pac-10,133,3025,393,875,362,760,31,115,350,518,278,451,729,215,117,42,240,319,1167
2409,Tim Clifford,2006,2008,Holy Cross,Patriot,95,2621,456,873,420,777,36,96,219,277,205,241,446,104,60,179,241,318,1167
2410,Tyree Griffin,2015,2019,Total,Total,129,3497,403,976,276,603,127,373,234,327,66,320,386,586,159,8,250,185,1167
2411,Luis Jacobo,2011,2014,Total,Total,97,2806,413,935,242,483,171,452,170,221,90,330,420,120,79,33,174,204,1167
2412,Gani Lawal,2008,2010,Georgia Tech,ACC,99,2403,446,814,446,811,0,3,275,498,268,444,712,43,59,127,211,240,1167
2413,Tavon Blackmon,2014,2017,Brown,Ivy,111,3468,388,957,295,710,93,247,297,400,36,170,206,465,99,4,310,247,1166
2414,Gilberto Clavell,2010,2011,Sam Houston State,Southland,64,1862,418,739,414,718,4,21,326,454,191,244,435,72,45,9,186,214,1166
2415,Jonathan Holmes,2012,2015,Texas,Big 12,127,2931,397,869,303,570,94,299,278,384,293,456,749,92,77,113,179,351,1166
2416,Shake Milton,2016,2018,Southern Methodist,AAC,87,3019,388,859,198,414,190,445,200,253,38,298,336,337,99,33,159,135,1166
2417,Iman Shumpert,2009,2011,Georgia Tech,ACC,92,2877,387,977,276,613,111,364,281,381,102,310,412,382,207,17,280,245,1166
2420,Phillip Carr,2016,2018,Morgan State,MEAC,87,2861,409,959,356,803,53,156,294,363,234,508,742,104,50,78,147,207,1165
2421,Matthew Dotson,2006,2009,Belmont,A-Sun,129,2777,424,994,213,417,211,577,106,142,141,367,508,207,60,32,154,222,1165
2422,Carlton Fay,2008,2011,Southern Illinois,MVC,126,2911,399,920,279,552,120,368,247,300,124,308,432,83,50,25,156,317,1165
2423,Trey Finn,2010,2013,Arkansas State,Sun Belt,121,3845,360,894,176,403,184,491,261,349,197,471,668,210,161,32,162,262,1165
2424,DJ Laster,2017,2019,Gardner-Webb,Big South,99,2333,484,923,425,759,59,164,138,219,175,303,478,44,47,42,147,224,1165
2425,Jamal Webb,2011,2014,North Dakota,Total,131,3935,438,969,322,635,116,334,173,296,136,444,580,483,241,44,389,289,1165
